news_headlines,news_article,news_category
Introducing the future of home fitness 'TREAD One': TREAD,"TREAD has launched 'TREAD One' - a smart and compact indoor cycle with a 22-inch HD rotatable screen that allows you to access live and on-demand classes with expert trainers and compete with friends through its live leaderboard format, from the comfort of your home. Enjoy a wide variety of workout formats with your new fitness partner, it said.",sports
First-ever ODI hundred was scored in the second ODI,"ODI cricket's first-ever hundred was scored by England's Dennis Amiss in the second ODI against Australia in August 1972, a year after the first-ever ODI. Amiss, born on April 7, 1943, scored the hundred off 130 balls in what was his debut match. He also shared the first-ever ODI hundred partnership, adding 125 runs with Keith Fletcher in the match.",sports
Anushka shares old video of Virat going 'Oh Teri' as she lifts him ,"Actress Anushka Sharma took to Instagram to share a throwback video of herself and Virat Kohli from the sets during an ad shoot. In the video, Anushka can be seen lifting Virat suddenly after which he says, ""Oh Teri!"" Anushka then lifts Virat again on his request. ""Did I do it?"" Anushka captioned the video.",sports
Media criticised for asking Harbhajan's pregnant wife Geeta to remove mask for pics,"A video shows paparazzi asking veteran off-spinner Harbhajan Singh's wife Geeta Basra to remove her mask while clicking her pictures outside a clinic in Mumbai. Some social media users criticised the paparazzi. ""People who ask for removal of mask should be fined...she is pregnant,"" a user wrote while another commented, ""Nothing but a bunch of covidiots.""",sports
I was just hitting Mishra for sixes all the time: Shimron Hetmyer on DC teammate,"On being asked about his banter with leg-spinner Amit Mishra during a training session, Delhi Capitals' Shimron Hetmyer said, ""He was just trying to get me out but it wasn’t happening. I wasn’t getting out."" He added, ""I was just hitting him for sixes all the time so it was nothing at all. No need to worry.""",sports
"French Open pushed back by a week, will start from May 24","French Open organisers on Thursday announced that the French Tennis Federation has decided to postpone 2021 Roland-Garros tournament by one week. It will now be held from May 24 to June 13. The decision was taken in consultation with French public authorities. ""It'll give the health situation more time to improve...should optimise our chances of welcoming spectators,"" FFT President said.",sports
"A cricketer born on 8-4-63 scored 8,463 runs in Test cricket","In a unique coincidence, former England captain Alec Stewart, who was born on 8-4-63 (April 8, 1963), smashed 8,463 runs in his Test career. Stewart is the most capped Test wicketkeeper for England, playing 133 matches from 1990 to 2003. Stewart also played 170 ODIs for England, scoring 4,677 runs including four hundreds and 28 fifties.",sports
How does CWC Super League points table read after Pakistan's historic series win?,"Pakistan on Wednesday became the first team from Asia to win an ODI series twice in South Africa. With their 28-run victory in the series decider, Pakistan have jumped to the second spot on the Cricket World Cup Super League points table. England are on top of the table on the basis of net run-rate, while India are eighth.",sports
"Shreyas Iyer undergoes shoulder surgery, shares pic from hospital bed","Team India batsman Shreyas Iyer, who had injured his shoulder during the first ODI against England, took to Twitter to share that he has undergone surgery. Sharing a picture from the hospital bed, the 26-year-old wrote, ""Surgery was a success and with lion-hearted determination, I’ll be back in no time...Thank you for your wishes.""",sports
Sad to see T20 leagues influencing international cricket: Shahid Afridi,"Ex-Pakistan captain Shahid Afridi has criticised Cricket South Africa for allowing players to travel for IPL in the middle of their series against Pakistan. ""It's sad to see T20 leagues influencing international cricket. Some rethinking needs to be done!!"" Afridi wrote. Kagiso Rabada, Quinton De Kock, Anrich Nortje, David Miller and Lungi Ngidi left for IPL before the series decider.",sports
